,flight_id,people_onboard,passengers_onboard,crew_onboard,people_dead,passenger_dead,crew_dead,ground,total_fatalities
3363,3363,25.0,22.0,3.0,25.0,22.0,3.0,0.0,25.0
3364,3364,9.0,7.0,2.0,7.0,7.0,0.0,0.0,7.0
3365,3365,94.0,88.0,6.0,94.0,88.0,6.0,0.0,94.0
3366,3366,3.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0
3367,3367,72.0,67.0,5.0,1.0,1.0,0.0,0.0,1.0
3368,3368,21.0,18.0,3.0,21.0,18.0,3.0,0.0,21.0
3369,3369,14.0,10.0,4.0,2.0,2.0,0.0,0.0,2.0
3370,3370,13.0,6.0,7.0,13.0,6.0,7.0,0.0,13.0
3371,3371,38.0,34.0,4.0,38.0,34.0,4.0,0.0,38.0
3372,3372,9.0,7.0,2.0,3.0,2.0,1.0,0.0,3.0
3373,3373,16.0,14.0,2.0,2.0,0.0,2.0,0.0,2.0
3374,3374,5.0,4.0,1.0,4.0,3.0,1.0,0.0,4.0
3375,3375,9.0,3.0,6.0,9.0,3.0,6.0,0.0,9.0
3376,3376,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0
3377,3377,54.0,51.0,3.0,49.0,46.0,3.0,0.0,49.0
3378,3378,167.0,159.0,8.0,167.0,159.0,8.0,0.0,167.0
3379,3379,121.0,114.0,7.0,4.0,4.0,0.0,0.0,4.0
3380,3380,11.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0
3381,3381,13.0,11.0,2.0,13.0,11.0,2.0,0.0,13.0
3382,3382,37.0,33.0,4.0,37.0,33.0,4.0,0.0,37.0
3383,3383,22.0,,,22.0,,,0.0,22.0
3384,3384,150.0,128.0,22.0,22.0,22.0,0.0,0.0,22.0
3385,3385,19.0,14.0,5.0,19.0,14.0,5.0,0.0,19.0
3386,3386,13.0,0.0,13.0,13.0,0.0,13.0,0.0,13.0
3387,3387,26.0,21.0,5.0,23.0,18.0,5.0,0.0,23.0
3388,3388,16.0,14.0,2.0,1.0,0.0,1.0,0.0,1.0
3389,3389,25.0,22.0,3.0,25.0,22.0,3.0,0.0,25.0
3390,3390,92.0,86.0,6.0,54.0,52.0,2.0,0.0,54.0
3391,3391,17.0,13.0,4.0,17.0,13.0,4.0,0.0,17.0
3392,3392,13.0,11.0,2.0,13.0,11.0,2.0,0.0,13.0
3393,3393,59.0,53.0,6.0,59.0,53.0,6.0,0.0,59.0
3394,3394,60.0,57.0,3.0,60.0,57.0,3.0,0.0,60.0
3395,3395,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
3396,3396,67.0,58.0,9.0,67.0,58.0,9.0,15.0,82.0
3397,3397,384.0,364.0,20.0,16.0,14.0,1.0,1.0,17.0
3398,3398,4.0,0.0,4.0,3.0,0.0,3.0,0.0,3.0
3399,3399,5.0,3.0,2.0,5.0,3.0,2.0,0.0,5.0
3400,3400,13.0,10.0,3.0,13.0,10.0,3.0,0.0,13.0
3401,3401,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0
3402,3402,14.0,12.0,2.0,14.0,12.0,2.0,0.0,14.0
3403,3403,80.0,75.0,5.0,3.0,3.0,0.0,0.0,3.0
3404,3404,44.0,35.0,9.0,34.0,26.0,8.0,0.0,34.0
3405,3405,93.0,85.0,8.0,70.0,66.0,4.0,0.0,70.0
3406,3406,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0
3407,3407,54.0,49.0,5.0,13.0,9.0,4.0,0.0,13.0
3408,3408,23.0,20.0,3.0,21.0,19.0,2.0,0.0,21.0
3409,3409,103.0,96.0,7.0,103.0,96.0,7.0,0.0,103.0
3410,3410,47.0,45.0,2.0,45.0,43.0,2.0,0.0,45.0
3411,3411,40.0,35.0,5.0,40.0,35.0,5.0,0.0,40.0
3412,3412,82.0,73.0,9.0,72.0,63.0,9.0,0.0,72.0
3413,3413,44.0,37.0,7.0,6.0,6.0,0.0,0.0,6.0
3414,3414,106.0,91.0,15.0,63.0,60.0,3.0,0.0,63.0
3415,3415,14.0,12.0,2.0,11.0,9.0,2.0,0.0,11.0
3416,3416,22.0,19.0,3.0,22.0,19.0,3.0,0.0,22.0
3417,3417,51.0,39.0,12.0,50.0,38.0,12.0,0.0,50.0
3418,3418,54.0,49.0,5.0,54.0,49.0,5.0,0.0,54.0
3419,3419,10.0,8.0,2.0,10.0,8.0,2.0,0.0,10.0
3420,3420,9.0,5.0,4.0,9.0,5.0,4.0,0.0,9.0
3421,3421,17.0,15.0,2.0,14.0,12.0,2.0,0.0,14.0
3422,3422,36.0,30.0,6.0,36.0,30.0,6.0,0.0,36.0
3423,3423,22.0,20.0,2.0,9.0,7.0,2.0,0.0,9.0
3424,3424,9.0,4.0,5.0,9.0,4.0,5.0,0.0,9.0
3425,3425,6.0,0.0,6.0,6.0,0.0,6.0,1.0,7.0
3426,3426,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
3427,3427,40.0,36.0,4.0,40.0,36.0,4.0,0.0,40.0
3428,3428,45.0,37.0,8.0,27.0,23.0,4.0,0.0,27.0
3429,3429,4.0,1.0,3.0,4.0,1.0,3.0,0.0,4.0
3430,3430,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
3431,3431,14.0,12.0,2.0,14.0,12.0,2.0,0.0,14.0
3432,3432,6.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0
3433,3433,183.0,172.0,11.0,183.0,172.0,11.0,0.0,183.0
3434,3434,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
