,flight_id,causes,date,route_simple
300,300,Sin datos,1932-12-14,Colorado
301,301,Sin datos,1932-12-26,Australia
302,302,Sin datos,1933-01-10,Algiers
303,303,Sin datos,1933-01-14,New Jersey
304,304,Sin datos,1933-01-20,Georgia
305,305,Sin datos,1933-01-20,Texas
306,306,Sin datos,1933-01-24,Oregon
307,307,Sin datos,1933-03-11,Argentina
308,308,Sin datos,1933-03-25,California
309,309,Fuego en la cabina,1933-03-28,Belgium
310,310,Sin datos,1933-04-03,Germany
311,311,Sin datos,1933-04-04,New Jersey
312,312,Sin datos,1933-04-23,Italy
313,313,Sin datos,1933-04-29,Germany
314,314,Sin datos,1933-05-09,Spain
315,315,Sin datos,1933-06-04,Virginia
316,316,Sin datos,1933-06-11,Illinois
317,317,Sin datos,1933-07-18,Aegean Sea
318,318,Sin datos,1933-08-29,New Mexico
319,319,Sin datos,1933-09-12,Yugoslavia
320,320,Sin datos,1933-10-10,Indiana
321,321,Sin datos,1933-10-31,France
322,322,Sin datos,1933-11-09,Oregon
323,323,Sin datos,1933-11-10,New Mexico
324,324,Sin datos,1933-11-20,China
325,325,Sin datos,1933-11-21,USSR
326,326,Sin datos,1933-11-24,Illinois
327,327,Sin datos,1933-12-11,Germany
328,328,Sin datos,1933-12-14,South Africa
329,329,Sin datos,1933-12-30,Belgium
330,330,Sin datos,1934-01-15,France
331,331,Sin datos,1934-01-20,France
332,332,Sin datos,1934-02-23,Utah
333,333,Sin datos,1934-02-26,Morocco
334,334,Sin datos,1934-03-06,Illinois
335,335,Sin datos,1934-03-10,Colombia
336,336,Sin datos,1934-03-22,Peru
337,337,Sin datos,1934-04-10,China
338,338,Sin datos,1934-05-09,English Channel
339,339,Sin datos,1934-05-31,England
340,340,Sin datos,1934-06-09,New York
341,341,Sin datos,1934-06-11,Argentina
342,342,Sin datos,1934-06-22,Germany
343,343,Sin datos,1934-06-23,California
344,344,Sin datos,1934-07-09,California
345,345,Sin datos,1934-07-27,Germany
346,346,Sin datos,1934-08-05,Brazil
347,347,Sin datos,1934-08-10,China
348,348,Sin datos,1934-08-31,Missouri
349,349,Sin datos,1934-10-02,English Channel
350,350,Sin datos,1934-10-03,Australia
351,351,Sin datos,1934-10-19,Australia
352,352,Sin datos,1934-11-02,Australia
353,353,Sin datos,1934-11-15,Montana
354,354,Sin datos,1934-11-15,Australia
355,355,Sin datos,1934-12-07,Germany
356,356,Sin datos,1934-12-08,Missouri
357,357,Sin datos,1934-12-10,Cuba
358,358,Sin datos,1934-12-20,Syria
359,359,Sin datos,1934-12-22,Tennessee
360,360,Sin datos,1934-12-31,
361,361,Sin datos,1935-01-08,Pakistan
362,362,Sin datos,1935-01-26,Pennsylvania
363,363,Sin datos,1935-01-31,Germany
364,364,Sin datos,1935-02-12,Californiia
365,365,Sin datos,1935-03-07,Germany
366,366,Sin datos,1935-03-15,Egypt
367,367,Sin datos,1935-03-29,Germany
368,368,Sin datos,1935-04-01,France
369,369,Sin datos,1935-04-06,Germany
370,370,Sin datos,1935-05-01,Colorado
371,371,Sin datos,1935-05-06,Missouri
372,372,Sin datos,1935-05-18,Russia
373,373,Sin datos,1935-05-18,Michigan
374,374,Sin datos,1935-05-27,Wyoming
375,375,Sin datos,1935-05-28,Illinois
376,376,Sin datos,1935-05-29,Honduras
377,377,Sin datos,1935-06-24,Colombia
378,378,Sin datos,1935-07-14,Netherlands
379,379,Sin datos,1935-07-19,Mississippi
380,380,Sin datos,1935-07-20,Switzerland
381,381,Sin datos,1935-07-23,United Kingdom
382,382,Sin datos,1935-07-28,Colombia
383,383,Sin datos,1935-08-07,Egypt
384,384,Sin datos,1935-08-13,China
385,385,Sin datos,1935-08-14,Texas
386,386,Sin datos,1935-08-15,Alaska
387,387,Sin datos,1935-08-15,Wyoming
388,388,Sin datos,1935-09-01,California
389,389,Sin datos,1935-09-13,Panama
390,390,Sin datos,1935-10-02,Australia
391,391,Sin datos,1935-10-07,Wyoming
392,392,Sin datos,1935-10-09,Gulf of Finland
393,393,Sin datos,1935-10-21,New York
394,394,Sin datos,1935-10-30,Wyoming
395,395,Sin datos,1935-11-02,Brazil
396,396,Sin datos,1935-11-09,Texas
397,397,Sin datos,1935-11-09,Italy
398,398,Sin datos,1935-11-11,France
399,399,Sin datos,1935-12-04,France
400,400,Sin datos,1935-12-10,England
401,401,Sin datos,1935-12-24,Poland
402,402,Sin datos,1935-12-31,Egypt
403,403,Sin datos,1936-01-14,Colombia
404,404,Sin datos,1936-01-14,Arkansas
405,405,Sin datos,1936-01-17,Boliva
406,406,Sin datos,1936-01-21,France
407,407,Sin datos,1936-01-29,Texas
408,408,Sin datos,1936-02-10,Atlantic Ocean
409,409,Sin datos,1936-02-15,South Atlantic Ocean
410,410,Sin datos,1936-03-05,China
411,411,Sin datos,1936-03-14,Chile
412,412,Sin datos,1936-03-26,Mexico
413,413,Sin datos,1936-04-01,New York
414,414,Sin datos,1936-04-07,Pennsylvania
415,415,Sin datos,1936-04-11,Trinidad
416,416,Sin datos,1936-04-15,Italy
417,417,Sin datos,1936-04-17,Switzerland
