,flight_id,aircraft_type,helicopter,manufacter
4304,4304,Boeing B-747-412,False,Boeing
4305,4305,Antonov AN-26,False,Antonov
4306,4306,Antonov 32B,False,Antonov
4307,4307,Swearingen SA.226TC Metro II,False,Swearingen
4308,4308,Antonov AN-26,False,Antonov
4309,4309,Airbus A300-600R,False,Airbus
4310,4310,Cessna 206,False,Cessna
4311,4311,Shaanxi Yunshuji Y-8/Yunshuji Y-8,False,Shaanxi
4312,4312,CASA 212-MP Aviocar 200,False,CASA
4313,4313,Douglas C-47A-30-DK (DC-3C),False,Douglas
4314,4314,Douglas DC-3C (C47A-DL),False,Douglas
4315,4315,Beech King Air 200 Catpass,False,Beech
4316,4316,Sud Aviation SE-210 Caravelle 10R,False,Sud
4317,4317,Learjet 35A,False,Learjet
4318,4318,Swearingen SA.227AT Merlin IVC,False,Swearingen
4319,4319,GAF Nomad N24A,False,GAF
4320,4320,Shorts 360-100,False,Shorts
4321,4321,Short 360,False,Short
4322,4322,Boeing B-737-4D7,False,Boeing
4323,4323,Tupolev 154M,False,Tupolev
4324,4324,de Havilland Canada DHC-6 Twin Otter,False,de
4325,4325,Fokker F-27 Friendship 500F,False,Fokker
4326,4326,Grummand Gulfstream III,False,Grummand
4327,4327,Antonov AN-24,False,Antonov
4328,4328,Mil Mi-18 Helicopter,True,Mil
4329,4329,Cessna  208B Grand Caravan,False,Cessna
4330,4330,CASA CN-235M-10,False,CASA
4331,4331,Yakovlev YAK-40,False,Yakovlev
4332,4332,Fokker F-27 Friendship 400M,False,Fokker
4333,4333,Antonov 12MGA,False,Antonov
4334,4334,Transall C-160NG,False,Transall
4335,4335,Tupolev TU-154M,False,Tupolev
4336,4336,Sikorsky S-76B helicopter,True,Sikorsky
4337,4337,Antonov AN-28 PZL-Mielec M-28 Sky Truck,False,Antonov
4338,4338,Ilyushin IL-76,False,Ilyushin
4339,4339,Dassault Falcon 20C,False,Dassault
4340,4340,Aerospatiale AS350 Eurocopter  helicoper,True,Aerospatiale
4341,4341,Antonov 28,False,Antonov
4342,4342,Learjet 25,False,Learjet
4343,4343,Airbus A-330-243,False,Airbus
4344,4344,CASA  CN-235-200,False,CASA
4345,4345,Boeing B-757-223,False,Boeing
4346,4346,Boeing 767-223ER,False,Boeing
4347,4347,Boeing B-767-222,False,Boeing
4348,4348,Boeing B-757-222,False,Boeing
4349,4349,LET 410UVP,False,LET
4350,4350,Fokker 100,False,Fokker
4351,4351,LET 410UVP-E,False,LET
4352,4352,Tupolev Tu-154M,False,Tupolev
4353,4353,de Havilland DHC-2 Mk 1 Beaver,False,de
