Date,Open,High,Low,Close,Adj Close,Volume
2020-08-12,11.500000,11.750000,11.500000,11.750000,11.750000,1180
2020-08-13,12.000000,12.000000,11.750000,12.000000,12.000000,248
2020-08-14,11.500000,11.750000,11.500000,11.750000,11.750000,24
2020-08-17,11.500000,11.750000,11.500000,11.750000,11.750000,108
2020-08-18,11.750000,11.750000,11.500000,11.500000,11.500000,172
2020-08-19,11.750000,11.750000,11.250000,11.250000,11.250000,1640
2020-08-20,11.500000,11.500000,11.250000,11.250000,11.250000,4412
2020-08-21,11.250000,11.500000,10.500000,10.750000,10.750000,2072
2020-08-24,10.250000,10.750000,10.250000,10.250000,10.250000,2116
2020-08-25,10.250000,10.500000,9.250000,9.750000,9.750000,17200
2020-08-26,10.000000,10.000000,9.500000,9.500000,9.500000,3172
2020-08-27,9.750000,9.750000,9.500000,9.750000,9.750000,480
2020-08-28,10.000000,10.250000,9.750000,9.750000,9.750000,2108
2020-08-31,10.500000,10.500000,9.250000,9.500000,9.500000,2960
2020-09-01,9.250000,9.500000,9.250000,9.250000,9.250000,1988
2020-09-02,9.000000,9.500000,9.000000,9.000000,9.000000,944
2020-09-03,9.000000,9.250000,9.000000,9.000000,9.000000,852
2020-09-04,9.250000,9.250000,9.000000,9.000000,9.000000,656
2020-09-08,9.000000,9.250000,9.000000,9.250000,9.250000,204
2020-09-09,9.250000,9.250000,8.750000,9.000000,9.000000,636
2020-09-10,9.000000,9.250000,8.750000,9.250000,9.250000,704
2020-09-11,9.250000,9.250000,9.000000,9.000000,9.000000,60
2020-09-14,8.750000,9.250000,8.750000,8.750000,8.750000,2232
2020-09-15,10.000000,10.000000,8.750000,9.250000,9.250000,528
2020-09-16,9.250000,9.750000,9.250000,9.250000,9.250000,6692
2020-09-17,9.500000,10.000000,9.500000,10.000000,10.000000,1424
2020-09-18,9.500000,9.500000,9.500000,9.500000,9.500000,152
2020-09-21,9.500000,9.500000,9.000000,9.000000,9.000000,192
2020-09-22,9.000000,9.000000,8.750000,9.000000,9.000000,408
2020-09-23,8.750000,8.750000,8.500000,8.750000,8.750000,1176
2020-09-24,8.250000,8.750000,8.250000,8.500000,8.500000,984
2020-09-25,8.500000,8.750000,7.750000,8.250000,8.250000,7292
2020-09-28,8.250000,8.250000,7.750000,7.750000,7.750000,420
2020-09-29,7.500000,8.250000,7.500000,7.750000,7.750000,552
2020-09-30,7.750000,7.750000,7.500000,7.750000,7.750000,972
2020-10-01,7.500000,8.000000,7.500000,7.750000,7.750000,496
2020-10-02,7.500000,7.750000,7.500000,7.750000,7.750000,88
2020-10-05,8.000000,8.000000,7.500000,7.500000,7.500000,216
2020-10-06,8.000000,8.250000,7.750000,8.250000,8.250000,1176
2020-10-07,8.000000,8.500000,8.000000,8.000000,8.000000,2312
2020-10-08,8.000000,8.250000,8.000000,8.250000,8.250000,112
2020-10-09,8.500000,8.500000,8.000000,8.500000,8.500000,624
2020-10-12,8.500000,8.500000,8.250000,8.250000,8.250000,688
2020-10-13,8.500000,8.500000,8.250000,8.500000,8.500000,956
2020-10-14,8.250000,8.500000,8.250000,8.250000,8.250000,228
2020-10-15,8.250000,8.500000,8.000000,8.000000,8.000000,336
2020-10-16,8.000000,8.250000,8.000000,8.250000,8.250000,860
2020-10-19,8.000000,8.250000,8.000000,8.250000,8.250000,664
2020-10-20,8.250000,8.250000,7.750000,8.000000,8.000000,412
2020-10-21,8.250000,8.500000,8.250000,8.250000,8.250000,32
2020-10-22,8.250000,8.250000,8.000000,8.000000,8.000000,680
2020-10-23,8.000000,8.250000,8.000000,8.250000,8.250000,412
2020-10-26,7.500000,8.500000,7.500000,8.250000,8.250000,2056
2020-10-27,8.000000,8.250000,8.000000,8.000000,8.000000,2520
2020-10-28,8.000000,8.000000,7.500000,7.500000,7.500000,748
2020-10-29,7.500000,7.500000,7.000000,7.250000,7.250000,2720
2020-10-30,7.250000,7.250000,7.000000,7.000000,7.000000,2104
2020-11-02,7.250000,8.250000,7.000000,7.750000,7.750000,5448
2020-11-03,8.250000,8.500000,7.750000,7.750000,7.750000,1460
2020-11-04,8.000000,8.000000,8.000000,8.000000,8.000000,20
2020-11-05,8.000000,8.500000,8.000000,8.000000,8.000000,868
2020-11-06,8.000000,8.250000,7.750000,7.750000,7.750000,812
